PCDate,PCTime,MESFOC_nmile,predict_MESFOC_nmile
2022/1/1,0:00:03,77.11560059,77.93996189032956
2022/1/1,0:00:13,76.8190918,76.24951023800556
2022/1/1,0:00:26,75.55740356,76.28380734490344
2022/1/1,0:00:36,75.48445129,77.15883938416295
2022/1/1,0:00:46,76.66532135,75.62580949744583
2022/1/1,0:00:58,75.99165344,75.76296589051124
2022/1/1,0:01:09,75.96580505,75.83387093844394
2022/1/1,0:01:19,76.00578308,74.6050722758403
2022/1/1,0:01:31,75.61123657,70.2333280815171
2022/1/1,0:01:41,74.87728882,74.27387624263122
2022/1/1,0:01:51,75.36885834,70.64403481284192
2022/1/1,0:02:01,74.72872925,75.54580814011052
2022/1/1,0:02:13,75.19736481,74.67202783279025
2022/1/1,0:02:24,75.99684906,75.49457122096777
2022/1/1,0:02:34,75.27409363,76.47768698973701
2022/1/1,0:02:46,76.16461945,76.4319740134088
2022/1/1,0:02:56,75.66501617,71.38313677830126
2022/1/1,0:03:06,75.92282104,77.00542594241915
2022/1/1,0:03:18,75.66915894,76.43299029217815
2022/1/1,0:03:28,77.02316284,77.996761703932
2022/1/1,0:03:39,78.60149384,79.41687278627373
2022/1/1,0:03:49,77.09998322,77.21834550503024
2022/1/1,0:04:01,75.83527374,76.41293784873939
2022/1/1,0:04:11,77.99300385,74.96309140945633
2022/1/1,0:04:21,79.05435944,80.25981577296683
2022/1/1,0:04:33,76.41191864,75.92884273982284
2022/1/1,0:04:43,76.17477417,78.75663779316756
2022/1/1,0:04:53,76.26895142,75.68646357306369
2022/1/1,0:05:06,75.71770477,78.77378655905244
2022/1/1,0:05:16,76.58862305,77.23089885581868
2022/1/1,0:05:26,77.03029633,76.27463047692811
2022/1/1,0:05:38,77.85301971,76.60749895090089
2022/1/1,0:05:48,77.55512238,71.07065182318524
2022/1/1,0:05:58,75.40242767,74.70404072207089
2022/1/1,0:06:08,74.61543274,76.0136460813442
2022/1/1,0:06:20,76.03259277,77.23558783668514
2022/1/1,0:06:31,76.34823608,74.50447249864256
2022/1/1,0:06:41,76.52514648,75.17709149334976
2022/1/1,0:06:53,76.24143982,74.55640396306092
2022/1/1,0:07:03,76.40442657,76.03498036349082
2022/1/1,0:07:13,75.91682434,75.53502067660833
2022/1/1,0:07:25,75.82748413,75.27946252195213
2022/1/1,0:07:35,76.62926483,76.77100443625028
2022/1/1,0:07:46,77.07565308,78.36028757480258
2022/1/1,0:07:56,78.19785309,78.20106360434775
2022/1/1,0:08:08,76.25518036,71.43189212368358
2022/1/1,0:08:18,75.51860046,76.15729945651648
2022/1/1,0:08:28,76.14418793,76.91663185326394
2022/1/1,0:08:40,78.40515137,79.37501159510175
2022/1/1,0:08:50,77.80371857,78.78674449147468
2022/1/1,0:09:01,76.1030426,76.27514275370504
2022/1/1,0:09:13,76.32827759,77.8418803352869
2022/1/1,0:09:23,76.39716339,76.01712472848607
2022/1/1,0:09:33,75.40464783,75.91999967829383
2022/1/1,0:09:43,76.30464172,77.23518171807453
2022/1/1,0:09:55,75.29124451,74.87955526888877
2022/1/1,0:10:05,74.54988861,75.84469983585143
2022/1/1,0:10:15,73.27739716,73.1626957313945
2022/1/1,0:10:27,74.11889648,74.26202252151201
2022/1/1,0:10:38,73.54503632,73.99303849917386
